Products Report,Generated: 2026-07-02 16:48

Total Products,32

Product Name,Category,Price,Stock,Status
Olive Oil 1L,Food & Beverages,"$1,200.00",250,In Stock
Honey 500g,Food & Beverages,$900.00,200,In Stock
Samsung Galaxy S24,Electronics,"$100,000.00",45,In Stock
Football,Sports,"$3,000.00",200,In Stock
Python Programming,Books,"$4,500.00",80,In Stock
The Great Gatsby,Books,"$2,000.00",200,In Stock
LEGO Set,Toys & Games,"$4,000.00",100,In Stock
Sony WH-1000XM5,Electronics,"$35,000.00",60,In Stock
Adidas T-Shirt,Clothing,"$5,000.00",120,In Stock
Protein Powder,Health & Beauty,"$6,000.00",8,Low Stock
Green Tea 100pcs,Food & Beverages,$800.00,400,In Stock
Dumbbell Set 10kg,Sports,"$12,000.00",7,Low Stock
Kitchen Knife Set,Home & Garden,"$8,000.00",70,In Stock
Coffee Beans 1kg,Food & Beverages,"$1,500.00",300,In Stock
PlayStation 5,Toys & Games,"$50,000.00",30,In Stock
Garden Plant Set,Home & Garden,"$3,000.00",150,In Stock
Levi's Jeans,Clothing,"$8,000.00",100,In Stock
iPhone 15 Pro,Electronics,"$120,000.00",50,In Stock
Tennis Racket,Sports,"$8,000.00",8,Low Stock
Nintendo Switch,Toys & Games,"$35,000.00",0,Out of Stock
Vitamin C Serum,Health & Beauty,"$3,500.00",150,In Stock
Nike Air Max,Clothing,"$15,000.00",80,In Stock
LED Floor Lamp,Home & Garden,"$12,000.00",60,In Stock
Organic Shampoo,Health & Beauty,"$2,000.00",200,In Stock
Dune,Books,"$2,500.00",100,In Stock
Yoga Mat,Sports,"$2,500.00",120,In Stock
Face Moisturizer,Health & Beauty,"$2,800.00",180,In Stock
1984 by Orwell,Books,"$1,800.00",150,In Stock
Winter Jacket,Clothing,"$25,000.00",40,In Stock
Wooden Dining Table,Home & Garden,"$45,000.00",20,In Stock
MacBook Air M2,Electronics,"$150,000.00",30,In Stock
Chess Board,Toys & Games,"$3,000.00",5,Low Stock
